City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Mar Del Plata,AR,2020-01-04 20:03:26,-46.43,-67.52,64.15,42,17,13.82
221,Jawhar,IN,2020-01-04 20:07:09,19.91,73.23,63.55,70,0,4.29
222,Spornoye,RU,2020-01-04 20:07:09,50.84,37.29,30.2,92,75,8.95
223,Maracaju,BR,2020-01-04 20:07:09,-21.61,-55.17,81.18,73,22,6.89
224,Batavia,US,2020-01-04 20:07:09,43.0,-78.19,36.0,80,90,5.82
225,Lircay,PE,2020-01-04 20:07:09,-12.99,-74.72,75.2,36,20,2.24
226,Lasa,CY,2020-01-04 20:07:10,34.92,32.53,60.8,67,75,19.46
227,Lompoc,US,2020-01-04 20:07:10,34.64,-120.46,63.0,50,1,3.36
228,Manyana,AU,2020-01-04 20:07:10,-35.26,150.51,69.01,59,41,11.41
229,Port-Gentil,GA,2020-01-04 20:07:10,-0.72,8.78,78.8,94,90,6.93
230,Saint-Georges,CA,2020-01-04 20:05:46,46.12,-70.67,35.01,83,100,1.99
231,Valle De Allende,MX,2020-01-04 20:07:11,26.94,-105.39,59.25,17,0,7.78
232,Khasan,RU,2020-01-04 20:07:11,42.43,130.64,18.45,64,0,11.34
233,Praia Da Vitoria,PT,2020-01-04 20:07:11,38.73,-27.07,64.4,88,40,20.92
234,Durban,CA,2020-01-04 20:07:11,51.93,-101.44,22.26,92,100,3.74
235,Puerto Leguizamo,CO,2020-01-04 20:07:11,-0.19,-74.78,90.91,43,45,3.51
236,Ancud,CL,2020-01-04 20:05:12,-41.87,-73.83,64.4,55,0,10.29
237,Ciudad Bolivar,VE,2020-01-04 20:07:12,8.12,-63.55,88.7,39,1,9.91
238,Talnakh,RU,2020-01-04 20:07:12,69.49,88.39,-0.4,77,100,22.37
239,Dewas,IN,2020-01-04 20:07:12,22.96,76.05,55.4,87,0,4.7
240,Oistins,BB,2020-01-04 20:02:52,13.07,-59.53,82.4,65,40,16.11
241,Ixtapa,MX,2020-01-04 20:07:13,20.71,-105.21,77.0,53,75,5.82
242,Lagoa,PT,2020-01-04 20:05:24,37.14,-8.45,55.0,87,0,4.7
243,Souillac,FR,2020-01-04 20:07:13,45.6,-0.6,42.8,81,0,8.05
244,Sarakhs,TM,2020-01-04 20:07:14,36.54,61.16,41.0,80,3,4.7
245,Ilulissat,GL,2020-01-04 20:07:14,69.22,-51.1,12.2,66,40,11.41
246,Praia,BR,2020-01-04 20:07:14,-20.25,-43.81,77.0,73,75,3.36
247,Tianpeng,CN,2020-01-04 20:07:14,28.88,112.34,45.23,81,100,7.27
248,Barahona,DO,2020-01-04 20:07:15,18.21,-71.1,87.8,55,20,18.34
249,Inhambane,MZ,2020-01-04 20:07:15,-23.87,35.38,78.93,80,20,13.56
250,Saraipali,IN,2020-01-04 20:07:15,21.32,83.0,60.55,84,0,4.32
251,Hauknes,NO,2020-01-04 20:07:15,66.28,14.07,28.4,86,40,4.7
252,Tari,NG,2020-01-04 20:07:16,12.41,4.49,66.42,21,0,11.16
253,Port Elizabeth,US,2020-01-04 20:05:42,39.31,-74.98,57.99,93,90,6.93
254,Mitu,IR,2020-01-04 20:07:16,36.2,46.09,21.83,95,80,3.13
255,Airai,TL,2020-01-04 20:07:16,-8.93,125.41,69.01,80,94,5.53
256,Luderitz,NA,2020-01-04 20:07:16,-26.65,15.16,62.53,87,0,25.5
257,Caravelas,BR,2020-01-04 20:07:17,-17.73,-39.27,78.39,84,100,8.88
258,Jalu,LY,2020-01-04 20:07:17,29.03,21.55,50.45,73,0,8.95
259,Mehamn,NO,2020-01-04 20:07:17,71.03,27.85,21.83,74,100,24.47
260,Camacha,PT,2020-01-04 20:07:17,33.08,-16.33,64.4,77,75,5.82
261,Cherskiy,RU,2020-01-04 20:03:35,68.75,161.3,-2.87,58,31,6.64
